城市/區域,類別,店名,招牌必點/特色,地址/鄰近地標,Google Maps 連結,營業時間/公休日,來源/備註
dept,🏬 百貨商場,Printemps Haussmann (春天百貨奧斯曼旗艦店),緊鄰老佛爺人潮少！女裝館7樓7ème Ciel景觀露台比老佛爺更好拍・6樓Bleu Coupole藍色彩繪穹頂餐廳・男裝館7-8樓Printemps du Goût純法美食市集。,64 Boulevard Haussmann， 75009 Paris (地鐵 Havre - Caumartin 站),⏰ 週一至週六 10:00-20:00， 週日 11:00-20:00 ｜ 亮點：7樓露天景觀拍鐵塔歌劇院・Bleu Coupole藍色穹頂・法國嚴選市集,Printemps Haussmann, 64 Boulevard Haussmann, 75009 Paris
dept,🏬 百貨商場,Le Bon Marché Rive Gauche (樂蓬馬歇百貨・左岸旗艦店),世界第一座現代百貨(1852年・艾菲爾鋼構)！左岸貴婦低調奢華・黑白幾何手扶梯裝置藝術・副館La Grande Épicerie全巴黎最強美食超市Bordier奶油免費真空。,24 Rue de Sèvres， 75007 Paris (地鐵 Sèvres - Babylone 站),⏰ 週一至週六 10:00-19:45， 週日 11:00-19:45 ｜ 亮點：人少優雅・La Grande Épicerie美食殿堂・對面Ritz甜點店,Le Bon Marche Rive Gauche, 24 Rue de Sevres, 75007 Paris
dept,🏬 百貨商場,Samaritaine Paris Pont-Neuf (莎瑪麗丹百貨・新橋店),LVMH耗時16年打造百年藝術建築！頂樓115米孔雀金箔壁畫・16000片橡樹葉琺瑯大階梯・B1全歐最大美妝香氛專區・Loulou法式文創選品店。,9 Rue de la Monnaie， 75001 Paris (地鐵 Pont Neuf 站直達 / 塞納河新橋旁),⏰ 週一至週日 10:00-20:00 ｜ 亮點：建築本身即博物館・金箔孔雀壁畫・歐洲頂級獨立香氛試香,Samaritaine Paris Pont-Neuf, 9 Rue de la Monnaie, 75001 Paris
dept,🏬 百貨商場,BHV Marais (巴詩威瑪黑百貨 / 巴黎市政廳百貨),創於1856年！巴黎在地人最愛生活百貨・B1傳奇五金手工藝區Le Bricolage(復古銅把手門牌)・頂樓露台酒吧Le Perchoir Marais俯瞰市政廳與鐵塔。,52 Rue de Rivoli， 75004 Paris (地鐵 Hôtel de Ville 站出站即達 / 市政廳正對面),⏰ 週一至週六 10:00-20:00， 週日 11:00-19:00 ｜ 亮點：9/19 市政廳行程過馬路即達・在地生活美學與法式工藝,BHV Marais, 52 Rue de Rivoli, 75004 Paris
dept,🏬 百貨商場,Beaugrenelle Paris (博格內爾現代購物中心),塞納河畔15區現代玻璃綠建築Shopping Mall！動線寬敞挑高天井不擠人・Sandro/Maje等法式輕奢齊全・全法最大Marks & Spencer英倫超市。,12 Rue Linois， 75015 Paris (地鐵 Charles Michels 站步行2分鐘 / 近天鵝島與鐵塔),⏰ 週一至週六 10:00-20:30， 週日 11:00-19:00 ｜ 亮點：現代化大Mall・逛街舒適動線寬敞・英倫超市伴手禮,Beaugrenelle Paris, 12 Rue Linois, 75015 Paris
market,👜 精品皮件,Polène Paris Champs-Élysées (香榭旗艦店),法國當紅小眾頂級皮件品牌！凱特王妃同款・450平米雙層藝廊空間・西班牙手工小牛皮(Cyme折耳包/Numéro Dix馬鞍包/Numéro Neuf水餃包),2 Rond-Point des Champs-Élysées Marcel-Dassault， 75008 Paris (地鐵 Franklin D. Roosevelt 站步行2分鐘),https://www.google.com/maps/search/?api=1&query=2+Rond-Point+des+Champs-Elysees+75008+Paris,⏰ 週一至週日 10:00-20:00 ｜ 滿 €100.01 退稅12% ｜ 建議平日 10:00 開門前或 10:30 到避開排隊,Polène Paris Champs-Élysées, 2 Rdpt des Champs-Élysées, 75008 Paris
market,👜 精品皮件,Polène Le Bon Marché (左岸樂蓬馬歇百貨專櫃),全巴黎排隊最短直營櫃！左岸貴婦百貨0樓・可與Céline/香氛/地下La Grande Épicerie貴婦超市合併退稅,24 Rue de Sèvres， 75007 Paris (Le Bon Marché 0樓 / 地鐵 Sèvres-Babylone 站出站即達),https://www.google.com/maps/search/?api=1&query=24+Rue+de+Sevres+75007+Paris,⏰ 週一至週六 10:00-19:45， 週日 11:00-19:45 ｜ 滿 €100.01 可於百貨退稅櫃檯合併退稅,Le Bon Marché, 24 Rue de Sèvres, 75007 Paris
market,👜 經典箱包,Maison Goyard Saint-Honoré (全球總店),1853年創立歷史總店！經典Y字手繪印花帆布・Saint Louis托特包・Saïgon西貢包・233號為包包專門店/隔壁為配件與寵物用品店,233 Rue Saint-Honoré， 75001 Paris (地鐵 Tuileries 站步行3分鐘 / 杜樂麗花園旁),⏰ 週一至週六 10:30-19:00 (週日公休) ｜ 建議開門前15-20分鐘抵達 ｜ 結帳需出示護照正本 ｜ 距 Ami Alger 僅 200 公尺,233 Rue Saint-Honoré, 75001 Paris
market,👜 經典箱包,Goyard Printemps Haussmann (春天百貨專櫃),位於春天百貨男館內！人潮通常較總店少・排隊時間較短・可與春天百貨其他精品專櫃合併累計退稅,64 Boulevard Haussmann， 75009 Paris (Printemps 男館內 / 地鐵 Havre-Caumartin 站),⏰ 週一至週六 10:00-20:00， 週日 11:00-20:00 ｜ 歌劇院商圈順遊首選 ｜ 可合併百貨退稅,64 Boulevard Haussmann, 75009 Paris
market,👜 經典箱包,Maison Goyard Paris 66 (香榭麗舍旗艦店),2023年全新開幕最新香榭旗艦店！空間寬敞高雅・位於蒙田大道精品街區・若總店熱門款式或顏色缺貨時的補貨首選,66 Rue François 1er， 75008 Paris (地鐵 George V / Franklin D. Roosevelt 站),⏰ 週一至週六 10:30-19:00 (週日公休) ｜ 空間寬敞 ｜ 蒙田大道精品商圈,66 Rue François 1er, 75008 Paris
market,👕 時尚服飾,Ami Paris Le Marais (全球最大旗艦店),2025年2月全新開幕！兩層樓 6400 平方英尺全球最大直營旗艦店・經典愛心 A (Ami de Cœur) 刺繡毛衣/衛衣/外套・尺碼與款式最齊全,96 Rue de Turenne， 75003 Paris (地鐵 Saint-Sébastien - Froissart 站步行2分鐘 / 瑪黑區核心),⏰ 週一至週六 11:00-19:30， 週日 12:00-19:00 ｜ 全球最大旗艦 ｜ 9/16 瑪黑區散步最佳順遊,96 Rue de Turenne, 75003 Paris
market,👕 時尚服飾,Ami Paris Alger (杜樂麗花園精品店),杜樂麗花園與聖奧諾雷精品街旁小店！氣氛雅緻不擁擠・與 Goyard 總店相距僅 200 公尺 (步行3分鐘)・同區順遊一次買齊,14 Rue d'Alger， 75001 Paris (地鐵 Tuileries 站步行2分鐘 / 杜樂麗花園旁),⏰ 週一至週六 11:00-19:30， 週日 12:00-19:00 ｜ 杜樂麗精品街 ｜ 距 Goyard 總店僅 200 公尺,14 Rue d'Alger, 75001 Paris
market,👕 時尚服飾,Ami Paris Beaumarchais (瑪黑二店),瑪黑區標誌性林蔭大道・原品牌舊址全新改裝・法式悠閒街區・鄰近 Merci 選品店,109 Boulevard Beaumarchais， 75003 Paris (地鐵 Saint-Sébastien - Froissart 站直達),⏰ 週一至週六 11:00-19:30， 週日 12:00-19:00 ｜ 瑪黑區二店 ｜ 鄰近 Merci 選物店,109 Boulevard Beaumarchais, 75003 Paris
coffee,🧁 殿堂甜點,Ritz Paris Le Comptoir Cambon (麗茲外帶甜點・右岸康朋旗艦),巴黎麗茲酒店主廚、世界最佳甜點師 François Perret 外帶甜點旗艦！免訂位即可品嚐傳奇甜點・人生必吃 Millefeuille 千層酥・經典瑪德蓮 Madeleine・可麗露・法式經典托特包（正面印有康朋街地址）,38 Rue Cambon， 75001 Paris (Chanel 本店隔壁 / 近杜樂麗花園與芳登廣場),⏰ 週一至週六 08:00-18:30， 週日 08:00-19:00 ｜ 招牌千層酥、瑪德蓮 ｜ 9/23 橘園杜樂麗精品街最佳順遊,38 Rue Cambon, 75001 Paris
coffee,🧁 殿堂甜點,Ritz Paris Le Comptoir Sèvres (麗茲外帶甜點・左岸樂蓬馬歇分店),巴黎麗茲酒店左岸外帶甜點分店！緊鄰 Le Bon Marché 百貨與頂級貴婦超市・人潮比右岸少品質相同・主廚經典千層酥・瑪德蓮・精緻可頌蛋糕,45 Rue de Sèvres， 75006 Paris (Le Bon Marché 百貨旁 / 地鐵 Sèvres-Babylone 站),⏰ 週一至週六 08:00-18:30， 週日 08:00-19:00 ｜ 左岸避開人潮首選 ｜ 買完 Bordier 奶油順道外帶甜點,45 Rue de Sèvres, 75006 Paris
market,👑 傳奇總店,Chanel 31 Cambon (香奈兒康朋街傳奇總店),1910年Coco Chanel創業原址！傳奇旋轉鏡梯與私人公寓・31 Rue Cambon限定白盒白袋包裝・經典CF包款・總店限定Shopper托特包,31 Rue Cambon， 75001 Paris (地鐵 Concorde / Madeleine 站步行4分鐘 / 麗茲甜點店正斜對面),⏰ 週一至週六 10:00-19:00 (週日公休) ｜ 總店限定白盒包裝 ｜ 距麗茲外帶甜點僅 30 公尺 ｜ 9/23 杜樂麗右岸精品街首選,31 Rue Cambon, 75001 Paris
market,👑 傳奇總店,Hermès Faubourg Saint-Honoré (愛馬仕福寶總店),1880年進駐全球歷史總部！Birkin與Kelly發源地・傳奇屋頂空中花園(香水靈感原址)・6層樓全品項旗艦・絲巾Carré 90花色全法最齊,24 Rue du Faubourg Saint-Honoré， 75008 Paris (地鐵 Concorde 站步行4分鐘 / 聖奧諾雷精品街),⏰ 週一至週六 10:30-18:30 (週日公休) ｜ 1880年歷史總部 ｜ 絲巾品項最齊 ｜ 建議 10:30 開門前往,24 Rue du Faubourg Saint-Honoré, 75008 Paris
